Bet reference;Date;Type;Amount (in user currency);Odd;Match id;Match label;Bet;Choice;End date;Win amount (in user currency);Win bonus (in user currency);Win total (in user currency);Freebet
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001340062;Czech Republic - Spain;Match Result;Spain;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001108521;Stade Français - Brive;Match Result;Stade Français;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001108519;Perpignan - Bordeaux-Bègles;Match Result;Bordeaux-Bègles;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001108524;Lyon OU - La Rochelle;Match Result;La Rochelle;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001108525;Clermont - Montpellier;Match Result;Clermont;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001108523;Toulouse - Biarritz;Match Result;Toulouse;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001108520;Pau - Castres;Match Result;Castres;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001351262;Wales - Ukraine;Match Result;Wales;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001336536;Colombia - Saudi Arabia;Match Result;Colombia;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001340063;Portugal - Switzerland;Match Result;Portugal;05-06-2022;0;0;0;VRAI
629cd4a15dfcb45a342b1236;05-06-2022;LCOM;0,1;1071,56;3001340064;Serbia - Slovenia;Match Result;Serbia;05-06-2022;0;0;0;VRAI
