Date;Movement type;Payment reference;Amount (in user currency);Fees (in user currency);Balance (in user currency);Status;Channel
05-06-2022;Withdrawal;BankTransfer;-30;0;0;2;IPHONEAPP_BETCLIC.FR
05-06-2022;Deposit;ApplePay;20;0;19,99;2;IPHONEAPP_BETCLIC.FR
16-03-2022;Deposit;ApplePay;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
23-06-2021;Deposit;Card;20;0;29,99;2;IPHONEAPP_BETCLIC.FR
21-06-2021;Deposit;Card;15;0;14,99;2;IPHONEAPP_BETCLIC.FR
19-06-2021;Deposit;PayPal;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
19-06-2021;Deposit;PayPal;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
15-06-2021;Deposit;PayPal;25;0;24,99;2;IPHONEAPP_BETCLIC.FR
14-06-2021;Withdrawal;BankTransfer;-20;0;35,14;2;IPHONEAPP_BETCLIC.FR
13-06-2021;Withdrawal;BankTransfer;-40;0;17,63;2;IPHONEAPP_BETCLIC.FR
10-06-2021;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
08-12-2020;Deposit;Card;25;0;24,99;2;IPHONEAPP_BETCLIC.FR
03-12-2020;Deposit;Card;20;0;19,99;2;IPHONEAPP_BETCLIC.FR
01-12-2020;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
20-10-2020;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
23-08-2020;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
21-08-2020;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
20-08-2020;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
19-08-2020;Deposit;Card;20;0;19,99;2;IPHONEAPP_BETCLIC.FR
14-08-2020;Deposit;Card;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
14-08-2020;Deposit;Card;20;0;19,99;2;IPHONEAPP_BETCLIC.FR
17-07-2020;Deposit;PayPal;10;0;9,99;2;IPHONEAPP_BETCLIC.FR
05-07-2020;Deposit;PayPal;20;0;19,99;2;IPHONEAPP_BETCLIC.FR
10-06-2020;Deposit;PayPal;20;0;19,99;2;IPHONEAPP_BETCLIC.FR
